skills,interests,experience_level,resume_text,career
"api, python, machine learning","analytics, automation",Beginner,"Built projects using api, python, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, llm, tensorflow, api, rag","security, cloud",Beginner,"Built projects using machine learning, llm, tensorflow, api, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, deployment, api, tensorflow, nlp","ai, systems",Beginner,"Built projects using python, llm, deployment, api, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, rag, llm, api, deployment, tensorflow, nlp","security, product",Advanced,"Built projects using machine learning, rag, llm, api, deployment, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, deployment, api, machine learning, tensorflow, python","systems, cloud",Advanced,"Built projects using nlp, deployment, api, machine learning, tensorflow, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, llm, tensorflow, machine learning, python, deployment","automation, systems",Beginner,"Built projects using api, llm, tensorflow, machine learning, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, machine learning, rag, python, api, deployment, tensorflow","product, security",Intermediate,"Built projects using nlp, machine learning, rag, python, api, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, python, tensorflow, nlp, api","analytics, ai",Beginner,"Built projects using rag, python, tensorflow, nlp, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, tensorflow, nlp, rag, deployment","analytics, cloud",Intermediate,"Built projects using python, llm, tensorflow, nlp, rag, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, llm, python, deployment","analytics, ai",Intermediate,"Built projects using nlp, llm, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, tensorflow, llm, python","cloud, ai",Beginner,"Built projects using machine learning, tensorflow, llm, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, tensorflow","analytics, cloud",Beginner,"Built projects using python, api, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, python, llm, tensorflow","systems, ai",Advanced,"Built projects using deployment, python, llm, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, deployment, tensorflow","cloud, ai",Advanced,"Built projects using nlp, api, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, rag, llm, deployment, nlp, python","systems, ai",Intermediate,"Built projects using tensorflow, rag, llm, deployment, nlp, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, python, nlp, deployment, rag","analytics, ai",Advanced,"Built projects using api, python, nlp, deployment, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, nlp, deployment","automation, analytics",Intermediate,"Built projects using llm, nlp, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, api, nlp","systems, security",Advanced,"Built projects using python, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, tensorflow, nlp","product, automation",Intermediate,"Built projects using python, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, machine learning, deployment","ai, automation",Beginner,"Built projects using llm, machine learning, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, tensorflow, api, rag, machine learning, llm","product, cloud",Intermediate,"Built projects using deployment, nlp, tensorflow, api, rag, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, rag, deployment, llm, machine learning","systems, analytics",Advanced,"Built projects using tensorflow, rag, deployment, llm, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, deployment, tensorflow, python, nlp","cloud, ai",Advanced,"Built projects using llm, deployment, tensorflow, python, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, nlp, machine learning","automation, cloud",Beginner,"Built projects using api, nlp, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, python, api, nlp, rag","ai, automation",Intermediate,"Built projects using tensorflow, python, api, nlp, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, python, llm, api","security, automation",Advanced,"Built projects using deployment, nlp, python, llm, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, rag, llm, deployment","analytics, automation",Beginner,"Built projects using api, rag, llm, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, nlp, python, llm","systems, cloud",Beginner,"Built projects using tensorflow, nlp, python, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, llm, nlp, rag, tensorflow, python, machine learning","security, cloud",Intermediate,"Built projects using api, llm, nlp, rag, tensorflow, python, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, python, deployment, nlp, llm, rag, api","systems, product",Advanced,"Built projects using machine learning, python, deployment, nlp, llm, rag, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, rag, deployment, llm","security, analytics",Intermediate,"Built projects using tensorflow, rag, deployment, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, llm, api, machine learning, rag, nlp","analytics, ai",Intermediate,"Built projects using tensorflow, llm, api, machine learning, rag, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, python, nlp","systems, ai",Beginner,"Built projects using rag, python, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, nlp, deployment","product, automation",Beginner,"Built projects using api, nlp, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, nlp","product, systems",Beginner,"Built projects using python, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, nlp, machine learning, tensorflow, deployment, llm, api","product, systems",Intermediate,"Built projects using rag, nlp, machine learning, tensorflow, deployment, llm, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, python, deployment, tensorflow","cloud, security",Advanced,"Built projects using llm, python, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, machine learning, tensorflow, python, rag, deployment, nlp","cloud, systems",Advanced,"Built projects using api, machine learning, tensorflow, python, rag, deployment, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, tensorflow, llm, rag, python, machine learning, api","analytics, product",Beginner,"Built projects using deployment, tensorflow, llm, rag, python, machine learning, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, nlp, machine learning, llm","automation, security",Beginner,"Built projects using deployment, nlp, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, deployment, machine learning, tensorflow, python, llm, api","systems, ai",Advanced,"Built projects using rag, deployment, machine learning, tensorflow, python, llm, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, machine learning, deployment, rag","systems, automation",Beginner,"Built projects using python, machine learning, deployment, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, rag, machine learning, api, tensorflow, python, deployment","systems, product",Intermediate,"Built projects using llm, rag, machine learning, api, tensorflow, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, machine learning, llm, tensorflow, api","systems, ai",Beginner,"Built projects using rag, machine learning, llm, tensorflow, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"python, llm, api, deployment, tensorflow","analytics, cloud",Intermediate,"Built projects using python, llm, api, deployment, tensorflow with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, machine learning, rag, tensorflow, deployment, api","analytics, automation",Intermediate,"Built projects using nlp, machine learning, rag, tensorflow, deployment, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, tensorflow, nlp, api, deployment, llm, python","security, ai",Beginner,"Built projects using machine learning, tensorflow, nlp, api, deployment, llm, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, api, llm","cloud, product",Beginner,"Built projects using rag, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, rag, deployment, python, machine learning, tensorflow, nlp","cloud, security",Beginner,"Built projects using llm, rag, deployment, python, machine learning, tensorflow, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"machine learning, tensorflow, api, nlp","cloud, analytics",Beginner,"Built projects using machine learning, tensorflow, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, tensorflow, python","systems, analytics",Advanced,"Built projects using nlp, api, tensorflow, python with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, llm, deployment","product, automation",Intermediate,"Built projects using nlp, llm, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, api, python, nlp, deployment","analytics, security",Beginner,"Built projects using rag, api, python, nlp, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, rag, python, api","product, cloud",Beginner,"Built projects using tensorflow, rag, python, api with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, llm, nlp","cloud, analytics",Intermediate,"Built projects using rag, llm, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"llm, deployment, nlp","analytics, product",Beginner,"Built projects using llm, deployment, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, tensorflow, api, llm, machine learning","analytics, product",Intermediate,"Built projects using nlp, tensorflow, api, llm, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, python, tensorflow, rag, api, nlp","analytics, cloud",Beginner,"Built projects using deployment, python, tensorflow, rag, api, nlp with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, python, deployment, tensorflow, machine learning","security, cloud",Beginner,"Built projects using api, python, deployment, tensorflow, machine learning with focus on ai engineer outcomes and measurable impact.",AI Engineer
"api, deployment, rag, python, machine learning, llm","product, automation",Advanced,"Built projects using api, deployment, rag, python, machine learning, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"rag, nlp, python, deployment","ai, security",Beginner,"Built projects using rag, nlp, python, deployment with focus on ai engineer outcomes and measurable impact.",AI Engineer
"deployment, api, rag","security, product",Beginner,"Built projects using deployment, api, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
"tensorflow, machine learning, python, nlp, deployment, api, llm","cloud, automation",Intermediate,"Built projects using tensorflow, machine learning, python, nlp, deployment, api, llm with focus on ai engineer outcomes and measurable impact.",AI Engineer
"nlp, api, llm, rag","cloud, ai",Beginner,"Built projects using nlp, api, llm, rag with focus on ai engineer outcomes and measurable impact.",AI Engineer
